NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
857670,2,3,,2,2,,,1,1,,,2,,2,,2,,2,1
857718,1,3,,3,3,,,1,1,,,2,,2,,2,,3,1
858214,2,3,,,,,,,,,,1,1,2,,,2004,4,4
858474,2,3,,,,,,,,,,2,,1,2,,,4,1
858481,1,3,,1,1,,,1,1,,,2,,1,2,,,3,1
858534,1,3,,4,3,2,2,1,1,1,1,1,3,2,,,2007,2,5
858712,1,3,,1,1,1,1,1,1,1,1,1,2,2,,,1989,1,4
859360,1,3,,2,2,4,3,1,1,1,1,1,3,2,,,2006,1,5
859449,1,3,,1,1,2,1,1,1,1,1,2,,1,2,,1969,2,2
859459,1,3,,2,2,2,2,1,1,1,1,1,3,2,,,1990,2,4
859507,2,3,,,,,,,,,,1,4,2,,,1995,2,5
859573,1,3,,2,2,2,2,2,2,2,2,1,2,1,1,,1996,3,3
859592,2,3,,1,1,2,1,1,1,1,1,2,,1,2,,1984,4,3
