NQUEST,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,QUOTAINTP,SCOPER,UTSCOPER,MESISCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,INTERNET,EBUY,PRELN,PRELQUALIT,PRELMOTIV1,PRELMOTIV2,PRELMOTIV3,DEPOSIT,NDEPOSIT
39227,2,,,2,2,50,2,,,,,,2,,,,,1,1,2,,150,2,,,2,,2,7,,,,1,2
39317,1,3,4,2,3,50,1,2,,,,,1,2,2,,,1,8,1,2,400,1,2,3,1,2,4,10,,,,1,5
39318,1,3,2,2,2,70,1,2,,,,,1,2,2,,,1,3,1,1,1200,2,,,1,3,2,7,,,,1,2
39488,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,1,3,1,8,,,,1,1
39697,2,,,1,1,,4,,,,,,1,1,2,,,1,1,1,1,1000,1,3,3,1,2,3,9,,,,1,2
50231,2,,,1,1,,2,,,,,,2,,,,,1,3,2,,1000,2,,,1,2,5,8,,,,1,3
51363,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,500,2,,,2,,2,8,,,,1,1
51544,2,,,2,2,4,2,,,,,,1,2,2,,,1,2,2,,400,1,3,3,1,3,4,8,,,,1,2
51895,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,400,1,3,3,1,2,2,8,,,,1,2
52700,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,850,2,,,2,,4,8,,,,1,1
52718,,,,1,1,,,,,,,,2,,,,,1,1,2,,200,2,,,2,,1,6,,,,1,1
52736,,,,,,,,,,,,,2,,,,,2,,2,,400,2,,,2,,3,6,,,,2,0
53086,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,1,1,200,2,,,1,2,1,8,,,,1,1
53202,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,2,7,,,,1,1
53234,2,,,2,3,50,2,,,,,,1,1,2,,,1,3,1,1,750,1,2,3,1,2,4,9,,,,1,3
53373,1,2,2,1,1,,1,2,,,,,1,1,2,,,1,2,2,,500,1,3,3,1,2,4,4,1,2,2,1,1
53380,2,,,1,1,,2,,,,,,2,,,,,2,,2,,300,2,,,2,,0,6,,,,1,1
53552,2,,,2,2,70,2,,,,,,2,,,,,1,1,1,1,400,2,,,1,2,4,8,,,,1,2
53564,1,1,1,1,1,,2,,,,,,1,1,2,,,1,2,1,1,600,1,3,3,1,1,3,7,,,,1,2
53997,2,,,2,2,100,2,,,,,,2,,,,,2,,2,,300,2,,,2,,1,10,,,,1,3
55147,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,3,7,,,,1,1
55425,2,,,2,2,99,1,2,,,,,1,1,2,,,1,1,2,,300,1,3,3,1,2,1,10,,,,1,2
55636,2,,,1,1,,1,2,,,,,1,1,2,,,1,2,2,,700,2,,,1,2,15,8,,,,1,2
55774,2,,,1,1,,2,,,,,,2,,,,,1,3,2,,1000,2,,,1,3,3,6,,,,1,3
56251,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,600,1,3,3,1,2,2,8,,,,1,2
56563,,,,1,1,,,,,,,,2,,,,,2,,2,,1300,2,,,2,,2,10,,,,1,1
56582,2,,,1,1,,2,,,,,,1,2,2,,,1,2,2,,450,2,,,1,3,3,8,,,,1,1
56603,2,,,1,1,,1,1,12,1500,1500,,2,,,,,1,2,2,,50,2,,,1,3,1,8,,,,1,2
56658,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,150,1,2,2,1,2,3,7,,,,1,1
56677,2,,,2,2,20,2,,,,,,2,,,,,1,1,2,,1500,2,,,2,,5,8,,,,1,2
56721,2,,,2,2,40,2,,,,,,2,,,,,1,2,2,,500,2,,,1,3,2,7,,,,1,2
56761,2,,,2,3,30,1,2,,,,,1,3,2,,,1,2,2,,1300,1,3,3,1,2,3,9,,,,1,5
56762,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1300,2,,,1,3,1,5,2,2,2,1,2
57042,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,2,,2,8,,,,1,1
57138,2,,,1,1,,2,,,,,,1,1,2,,,2,,1,1,600,1,3,3,1,2,3,10,,,,1,1
57621,2,,,2,2,10,1,2,,,,,1,1,2,,,1,3,2,,300,2,,,1,3,4,7,,,,1,3
57670,2,,,1,1,,3,,,,,,1,2,1,,,1,3,2,,1500,1,3,3,1,2,4,9,,,,1,2
57779,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1000,2,,,1,3,1,5,1,2,2,1,1
57962,1,1,2,2,2,70,1,2,,,,,1,2,2,,,1,2,2,,800,1,3,3,1,2,3,3,1,1,2,1,2
60078,,,,1,,,,,,,,,2,,,,,1,2,2,,1200,2,,,2,,2,2,1,1,1,1,1
91071,1,1,1,2,2,95,2,,,,,,1,2,2,,,1,2,2,,600,1,2,3,1,2,6,10,,,,1,2
91079,2,,,2,2,95,3,,,,,,1,1,2,,,1,2,1,1,300,1,3,3,1,2,9,10,,,,1,3
91081,2,,,1,1,,1,1,3,1000,0,,1,2,2,,,1,3,2,,600,1,3,3,1,2,8,7,,,,1,2
91095,1,1,1,1,1,,1,2,,,,,1,1,2,,,1,2,2,,1000,1,3,3,1,2,5,8,,,,1,12
111052,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1000,2,,,2,,3,7,,,,1,1
145007,2,,,1,1,,1,2,,,,,1,2,2,,,1,2,2,,100,1,3,3,1,2,1,8,,,,1,2
178001,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,2,9,,,,1,1
213440,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1500,2,,,1,3,2,8,,,,1,1
224048,,,,,,,,,,,,,2,,,,,2,,2,,200,2,,,2,,1,8,,,,2,0
230029,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,700,2,,,2,,3,10,,,,1,1
230037,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,4,10,,,,1,1
237003,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1800,1,3,3,1,2,4,7,,,,1,2
244013,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,600,2,,,2,,4,8,,,,1,2
244058,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,500,1,3,3,1,2,3,8,,,,1,1
250005,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,2,8,,,,1,1
250010,,,,1,1,,,,,,,,2,,,,,1,1,2,,1000,2,,,2,,1,8,,,,1,1
250039,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,1,8,,,,1,1
