NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
684671,2,2,2,,,,2,2,2,,,,2,,1,680,2,,2,,2
684740,2,,,,,,2,,,,,,2,,1,450,2,,2,,2
684784,2,,,,,,2,2,,,,,2,,1,300,2,,2,,2
684885,2,,,,,,2,1,,,,,2,,2,,2,,2,,2
684886,2,2,,,,,2,2,,,,,2,,1,300,2,,2,,2
684937,,2,,,,,2,2,,,,,2,,2,,1,490,2,,2
685016,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
685058,,,,,,,2,,,,,,2,,1,1000,2,,2,,2
685130,2,,,,,,2,,,,,,2,,2,,2,,2,,2
685149,,2,,,,,2,2,,,,,2,,1,400,2,,1,160,2
685164,,2,,,,,2,2,,,,,2,,1,1450,1,400,1,13000,2
685258,,2,,,,,2,2,,,,,2,,1,680,2,,2,,2
685296,1,2,2,,,,2,2,2,,,,1,130,1,1100,2,,2,,2
685297,2,,,,,,2,2,2,,,,2,,1,1000,1,500,2,,2
685299,1,2,,,,,1,1,2,,,,2,,1,180,2,,2,,2
685300,2,,,,,,2,,,,,,2,,2,,2,,2,,2
685301,2,2,2,,,,2,2,2,,,,2,,1,360,2,,2,,2
685368,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
685451,2,,,,,,2,,,,,,2,,2,,2,,2,,2
685537,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
685560,2,,,,,,2,,,,,,2,,2,,2,,2,,2
685630,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
685733,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
685734,,,,,,,2,,,,,,2,,1,400,2,,2,,2
685747,,2,,,,,2,2,,,,,2,,1,180,2,,2,,2
685780,,2,1,,,,1,2,2,,,,2,,1,2000,1,600,1,350,2
685812,2,2,2,,,,2,2,2,2,,,2,,2,,2,,2,,2
685891,,,,,,,2,2,,,,,2,,2,,2,,2,,2
685895,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
685902,2,2,,2,2,,2,2,2,2,2,,2,,1,1200,2,,2,,2
685905,2,2,2,2,,,2,2,2,2,,,2,,1,200,2,,2,,2
685906,2,,,,,,2,2,,,,,2,,2,,2,,2,,2
685965,2,,,,,,2,2,,,,,2,,1,570,2,,2,,2
686014,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
686133,,,,,,,2,,,,,,2,,1,600,2,,2,,2
686185,2,2,,,,,2,2,,,,,2,,1,1000,2,,2,,2
686190,2,,,,,,2,,,,,,2,,2,,2,,2,,2
686429,,,,,,,2,,,,,,2,,2,,2,,2,,2
686528,2,2,2,2,,,2,2,2,2,2,2,2,,1,1500,2,,2,,2
686579,2,,,,,,2,,,,,,2,,2,,2,,2,,2
686634,2,2,2,2,,,2,2,2,2,2,2,2,,1,350,2,,2,,2
686657,,,,,,,1,,,,,,2,,1,650,1,500,2,,1
686717,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
686763,2,2,2,2,,,2,2,2,2,,,2,,2,,2,,2,,2
686806,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
686831,,,,,,,2,,,,,,2,,2,,2,,2,,2
686863,,,,,,,2,,,,,,2,,2,,2,,2,,2
